,DQN
1188,0
1189,1
1190,0
1191,-2
1192,0
1193,-1
1194,-1
1195,-20
1196,1
1197,-1
1198,0
1199,-20
1200,-2
1201,-4
1202,-20
1203,-1
1204,-20
1205,-20
1206,-3
1207,-1
1208,-2
1209,-1
1210,-3
1211,0
1212,-1
1213,-2
1214,-2
1215,-3
1216,1
1217,0
1218,1
1219,0
1220,-1
1221,-1
1222,0
1223,-2
1224,-2
1225,-1
1226,-5
1227,-3
1228,0
1229,-1
1230,-6
1231,-1
1232,-3
1233,-3
1234,0
1235,-1
1236,-2
1237,-20
1238,1
1239,-13
1240,-3
1241,-1
1242,-20
1243,1
1244,0
1245,-4
1246,-1
1247,1
1248,-1
1249,-1
1250,0
1251,0
1252,-5
1253,-3
1254,-15
1255,-20
1256,-2
1257,-1
1258,-1
1259,-1
1260,0
1261,-1
1262,-3
1263,0
1264,-2
1265,-1
1266,-1
1267,0
1268,-20
1269,-2
1270,1
1271,-1
1272,1
1273,-3
1274,-2
1275,-12
1276,-2
1277,1
1278,-1
1279,-2
1280,-3
1281,-6
1282,-20
1283,-7
1284,0
1285,-20
1286,-20
1287,-9
1288,-2
1289,-1
1290,0
1291,-3
1292,-1
1293,0
1294,0
1295,0
1296,-8
1297,0
1298,-1
1299,-20
1300,0
1301,-20
1302,-2
1303,-20
1304,-20
1305,0
1306,0
1307,-1
1308,-5
1309,-3
1310,-1
1311,-2
1312,-20
1313,-2
1314,-1
1315,-7
1316,-2
1317,-2
1318,0
1319,0
1320,-2
1321,-13
1322,1
1323,-3
1324,-15
1325,-4
1326,-2
1327,-1
1328,0
1329,-1
1330,-9
1331,-2
1332,-1
1333,-1
1334,1
1335,-3
1336,0
1337,0
1338,-3
1339,0
1340,0
1341,-2
1342,-1
1343,-2
1344,-1
1345,-1
1346,-1
1347,-3
1348,-3
1349,-9
1350,0
1351,-12
1352,-1
1353,0
1354,-1
1355,1
1356,0
1357,1
1358,0
1359,0
1360,0
1361,0
1362,-1
1363,-1
1364,-8
1365,0
1366,0
1367,-3
1368,0
1369,-1
1370,-6
1371,0
1372,0
1373,-1
1374,-3
1375,0
1376,-1
1377,0
1378,-2
1379,-20
1380,-20
1381,-6
1382,0
1383,-4
1384,-2
1385,0
1386,-2
1387,-6
1388,-1
1389,-3
1390,-1
1391,-2
1392,-1
1393,-1
1394,-2
1395,-1
1396,-1
1397,-2
1398,-1
1399,-2
1400,-1
1401,-1
1402,1
1403,-2
1404,-2
1405,-1
1406,0
1407,-2
1408,-1
1409,1
1410,-1
1411,-16
1412,-1
1413,-3
1414,0
1415,-2
1416,-2
1417,-1
1418,1
1419,-1
1420,-18
1421,0
1422,0
1423,0
1424,-1
1425,0
1426,-1
1427,-4
1428,0
1429,0
1430,-3
1431,0
1432,1
1433,-2
1434,0
1435,-1
1436,-3
1437,0
1438,0
1439,-4
1440,-3
1441,0
1442,-1
1443,-1
1444,-12
1445,-20
1446,-3
1447,-7
1448,-1
1449,-1
1450,-1
1451,-1
1452,0
1453,-1
1454,-7
1455,-2
1456,-1
1457,-1
1458,0
1459,-2
1460,-1
1461,-2
1462,0
1463,0
1464,-1
1465,-6
1466,0
1467,-2
1468,0
1469,-1
1470,-1
1471,-2
1472,0
1473,1
1474,0
1475,-2
1476,0
1477,0
1478,-2
1479,-1
1480,-2
1481,-20
1482,1
1483,-3
1484,-2
1485,-20
1486,-1
1487,-2
1488,-3
1489,-3
1490,-1
1491,0
1492,-4
1493,0
1494,0
1495,-1
1496,0
1497,0
1498,-1
1499,-1
1500,-2
1501,0
1502,-2
1503,0
1504,-6
1505,-5
1506,-1
1507,0
1508,0
1509,-3
1510,-2
1511,-1
1512,0
1513,-1
1514,-2
1515,1
1516,-1
1517,-1
1518,-1
1519,-1
1520,-20
1521,-2
1522,-2
1523,0
1524,0
1525,0
1526,-11
1527,-20
1528,0
1529,-8
1530,0
1531,-20
1532,-1
1533,-3
1534,-4
1535,0
1536,-4
1537,-2
1538,-1
1539,-20
1540,1
1541,-3
1542,-3
1543,-1
1544,1
1545,-1
1546,-2
1547,-3
1548,1
1549,-1
1550,-1
1551,0
1552,1
1553,0
1554,-1
1555,-1
1556,-2
1557,-1
1558,1
1559,0
1560,-3
1561,-3
1562,-2
1563,-1
1564,-1
1565,0
1566,0
1567,-3
1568,-2
1569,0
1570,-3
1571,1
1572,0
1573,-17
1574,-15
1575,-2
1576,-2
1577,-1
1578,-6
1579,-1
1580,0
1581,-1
1582,-1
1583,-1
1584,1
1585,0
1586,0
1587,-1
1588,0
1589,-2
1590,-3
1591,-1
1592,0
1593,-1
1594,-13
1595,-6
1596,-8
1597,-18
1598,-1
1599,0
1600,-20
1601,-4
1602,-3
1603,-2
1604,0
1605,-5
1606,-3
1607,0
1608,1
1609,0
1610,-4
1611,0
1612,-1
1613,0
1614,-20
1615,-1
1616,-2
1617,-1
1618,-20
1619,-3
1620,-2
1621,-3
1622,-1
1623,-13
1624,1
1625,-20
1626,-2
1627,-1
1628,0
1629,0
1630,0
1631,-2
1632,0
1633,-1
1634,0
1635,-1
1636,-2
1637,-1
1638,0
1639,-20
1640,-1
1641,-1
1642,-1
1643,-1
1644,-4
1645,-12
1646,-1
1647,0
1648,-1
1649,0
1650,-4
1651,-4
1652,-13
1653,1
1654,-1
1655,-15
1656,0
1657,0
1658,-4
1659,-1
1660,-3
